combo_idx,run_id,params,zero_trade_pct,invalid_pct,walkforward_executed_true_pct,mc_trigger_rate,trade_count,tpm,best_PF,best_expectancy,best_exp_lcb,best_maxDD,classification
22,20260301_141234_762e44c5a75c_stage13,"{'entry_threshold': 0.34, 'retest_atr_k': 0.8, 'trend_pullback_k': 1.2}",0.0,100.0,0.0,100.0,9.0,2.701125468945394,1.603094391981315,40.933013939543784,-45.46919334804595,0.03441885911769641,NO_EDGE
23,20260301_141235_e0a8af784634_stage13,"{'entry_threshold': 0.34, 'retest_atr_k': 0.8, 'trend_pullback_k': 1.6}",0.0,100.0,0.0,100.0,9.5,2.851187994997916,1.5482212185525484,49.994008347991134,-16.154620659877487,0.10809223758254727,NO_EDGE
24,20260301_141236_e8986f13314f_stage13,"{'entry_threshold': 0.34, 'retest_atr_k': 1.0, 'trend_pullback_k': 0.8}",0.0,100.0,0.0,100.0,9.5,2.851187994997916,1.6778866603658724,38.34107408823703,-32.189062893025756,0.03441885911769641,NO_EDGE
25,20260301_141236_65835befdbec_stage13,"{'entry_threshold': 0.34, 'retest_atr_k': 1.0, 'trend_pullback_k': 1.2}",0.0,100.0,0.0,100.0,10.0,3.0012505210504377,1.6778866603658724,38.34107408823703,-32.189062893025756,0.03441885911769641,NO_EDGE
26,20260301_141237_5e1d116b7e33_stage13,"{'entry_threshold': 0.34, 'retest_atr_k': 1.0, 'trend_pullback_k': 1.6}",0.0,100.0,0.0,100.0,10.5,3.1513130471029593,1.3267776853711986,32.01573953300378,-31.261559969804182,0.12498431990950501,NO_EDGE
27,20260301_141238_0af87400f4fe_stage13,"{'entry_threshold': 0.4, 'retest_atr_k': 0.6, 'trend_pullback_k': 0.8}",0.0,100.0,0.0,100.0,2.5,0.7503126302626094,0.0,289.2470064120637,277.70924833218,0.0005,NO_EDGE
28,20260301_141238_97323cf9faae_stage13,"{'entry_threshold': 0.4, 'retest_atr_k': 0.6, 'trend_pullback_k': 1.2}",0.0,100.0,0.0,100.0,2.5,0.7503126302626094,0.0,289.2470064120637,277.70924833218,0.0005,NO_EDGE
29,20260301_141239_8d75b24a5601_stage13,"{'entry_threshold': 0.4, 'retest_atr_k': 0.6, 'trend_pullback_k': 1.6}",0.0,100.0,0.0,100.0,3.5,1.0504376823676531,0.0,273.00730044418833,257.6781425142172,0.0005000000000000462,NO_EDGE
30,20260301_141240_97c970ca4d59_stage13,"{'entry_threshold': 0.4, 'retest_atr_k': 0.8, 'trend_pullback_k': 0.8}",0.0,100.0,0.0,100.0,2.5,0.7503126302626094,0.0,289.2470064120637,277.70924833218,0.0005,NO_EDGE
31,20260301_141240_a26ad7a69b49_stage13,"{'entry_threshold': 0.4, 'retest_atr_k': 0.8, 'trend_pullback_k': 1.2}",0.0,100.0,0.0,100.0,2.5,0.7503126302626094,0.0,289.2470064120637,277.70924833218,0.0005,NO_EDGE
32,20260301_141241_4cafec6da487_stage13,"{'entry_threshold': 0.4, 'retest_atr_k': 0.8, 'trend_pullback_k': 1.6}",0.0,100.0,0.0,100.0,3.5,1.0504376823676531,0.0,273.00730044418833,257.6781425142172,0.0005000000000000462,NO_EDGE
33,20260301_141242_13aafe73c27e_stage13,"{'entry_threshold': 0.4, 'retest_atr_k': 1.0, 'trend_pullback_k': 0.8}",0.0,100.0,0.0,100.0,2.5,0.7503126302626094,0.0,289.2470064120637,277.70924833218,0.0005,NO_EDGE
34,20260301_141242_65e4e0afa41e_stage13,"{'entry_threshold': 0.4, 'retest_atr_k': 1.0, 'trend_pullback_k': 1.2}",0.0,100.0,0.0,100.0,2.5,0.7503126302626094,0.0,289.2470064120637,277.70924833218,0.0005,NO_EDGE
35,20260301_141243_39ff5bd97798_stage13,"{'entry_threshold': 0.4, 'retest_atr_k': 1.0, 'trend_pullback_k': 1.6}",0.0,100.0,0.0,100.0,3.5,1.0504376823676531,0.0,273.00730044418833,257.6781425142172,0.0005000000000000462,NO_EDGE
