combo_idx,run_id,params,zero_trade_pct,invalid_pct,walkforward_executed_true_pct,mc_trigger_rate,trade_count,tpm,best_PF,best_expectancy,best_exp_lcb,best_maxDD,classification
0,20260301_141846_704dc222eb4d_stage13,"{'anomaly_cap': 2.0, 'entry_threshold': 0.25}",0.0,100.0,0.0,100.0,178.5,53.572321800750316,0.668021950496807,-27.467606916324794,-38.41196017254007,0.51570291373863,NO_EDGE
1,20260301_141847_21b809f7d1a0_stage13,"{'anomaly_cap': 2.0, 'entry_threshold': 0.3}",0.0,100.0,0.0,100.0,165.0,49.52063359733222,0.6714674430131,-28.08765944092141,-39.6850115204605,0.5011529850324561,NO_EDGE
2,20260301_141847_5342da1109d8_stage13,"{'anomaly_cap': 2.0, 'entry_threshold': 0.35}",0.0,100.0,0.0,100.0,130.0,39.01625677365569,0.8696805915527456,-13.037757759098444,-30.3740361580005,0.2567473374959979,NO_EDGE
3,20260301_141848_1579eb50beaa_stage13,"{'anomaly_cap': 3.0, 'entry_threshold': 0.25}",0.0,100.0,0.0,100.0,113.5,34.06419341392247,0.9146974847262053,-8.653398906494195,-28.190109448435265,0.20369567377881959,NO_EDGE
4,20260301_141849_d09a9559e6eb_stage13,"{'anomaly_cap': 3.0, 'entry_threshold': 0.3}",0.0,100.0,0.0,100.0,47.5,14.25593997498958,0.9052613630854253,-10.14127624745821,-42.61601882358132,0.1419183301521193,NO_EDGE
5,20260301_141849_33b39784993b_stage13,"{'anomaly_cap': 3.0, 'entry_threshold': 0.35}",0.0,100.0,0.0,100.0,8.5,2.551062942892872,0.8869487053313312,-13.463983460934143,-83.3578037750099,0.11168255954279697,NO_EDGE
6,20260301_141850_837cee0d3ff7_stage13,"{'anomaly_cap': 4.0, 'entry_threshold': 0.25}",0.0,100.0,0.0,100.0,24.5,7.353063776573572,0.8920850041505931,-11.329847785650466,-51.60705951108404,0.16823052730539576,NO_EDGE
7,20260301_141851_8147f7cbaa18_stage13,"{'anomaly_cap': 4.0, 'entry_threshold': 0.3}",0.0,100.0,0.0,100.0,4.0,1.200500208420175,0.5414844987843717,-57.024800236660106,-151.75857673782045,0.04844241301531304,NO_EDGE
8,20260301_141851_514d2d246ece_stage13,"{'anomaly_cap': 4.0, 'entry_threshold': 0.35}",0.0,100.0,0.0,100.0,1.0,0.30012505210504375,0.0,309.0708386869274,309.0708386869274,0.0005,NO_EDGE
